('./data/facerecog/temp/08/10.38.5.145_ch0_20180126_080051.323_face.jpg', u'male', u'Enrique')
('./data/facerecog/temp/08/10.38.5.145_ch0_20180126_080054.207_face.jpg', u'male', u'Gopi')
('./data/facerecog/temp/08/10.38.5.145_ch0_20180126_080057.136_face.jpg', u'male', u'Enrique')
('./data/facerecog/temp/08/10.38.5.145_ch0_20180126_080102.098_face.jpg', u'male', u'Enrique')
('./data/facerecog/temp/08/10.38.5.145_ch0_20180126_080105.737_face.jpg', u'female', u'Unknown')
('./data/facerecog/temp/08/10.38.5.145_ch0_20180126_080108.870_face.jpg', u'male', u'Gopi')
('./data/facerecog/temp/08/10.38.5.145_ch0_20180126_080110.133_face.jpg', u'male', u'Gopi')
('./data/facerecog/temp/08/10.38.5.145_ch0_20180126_080113.607_face.jpg', u'male', u'Enrique')
('./data/facerecog/temp/08/10.38.5.145_ch0_20180126_080115.154_face.jpg', u'male', u'Enrique')
('./data/facerecog/temp/08/10.38.5.145_ch0_20180126_080117.186_face.jpg', u'male', u'Richard')
('./data/facerecog/temp/08/10.38.5.145_ch0_20180126_080125.328_face.jpg', u'female', u'Unknown')
('./data/facerecog/temp/08/10.38.5.145_ch0_20180126_080126.577_face.jpg', u'male', u'Guillermo')
('./data/facerecog/temp/08/10.38.5.145_ch0_20180126_080135.510_face.jpg', u'male', u'Unknown')
('./data/facerecog/temp/08/10.38.5.145_ch0_20180126_080136.332_face.jpg', u'male', u'Richard')
('./data/facerecog/temp/08/10.38.5.145_ch0_20180126_080141.903_face.jpg', u'male', u'Enrique')
('./data/facerecog/temp/08/10.38.5.145_ch0_20180126_080145.872_face.jpg', u'male', u'Enrique')
('./data/facerecog/temp/08/10.38.5.145_ch0_20180126_080205.337_face.jpg', u'male', u'Guillermo')
('./data/facerecog/temp/08/10.38.5.145_ch0_20180126_080206.856_face.jpg', u'male', u'Unknown')
('./data/facerecog/temp/08/10.38.5.145_ch0_20180126_080210.722_face.jpg', u'male', u'Unknown')
('./data/facerecog/temp/08/10.38.5.145_ch0_20180126_080229.432_face.jpg', u'male', u'Enrique')
('./data/facerecog/temp/08/10.38.5.145_ch0_20180126_080238.107_face.jpg', u'male', u'Enrique')
('./data/facerecog/temp/08/10.38.5.145_ch0_20180126_080242.669_face.jpg', u'male', u'Enrique')
('./data/facerecog/temp/08/10.38.5.145_ch0_20180126_080244.925_face.jpg', u'male', u'Enrique')
('./data/facerecog/temp/08/10.38.5.145_ch0_20180126_080247.252_face.jpg', u'male', u'Enrique')
('./data/facerecog/temp/08/10.38.5.145_ch0_20180126_080252.598_face.jpg', u'male', u'Enrique')
('./data/facerecog/temp/08/10.38.5.145_ch0_20180126_080257.580_face.jpg', u'male', u'Enrique')
('./data/facerecog/temp/08/10.38.5.145_ch0_20180126_080303.342_face.jpg', u'male', u'Unknown')
('./data/facerecog/temp/08/10.38.5.145_ch0_20180126_080309.626_face.jpg', u'female', u'Enrique')
('./data/facerecog/temp/08/10.38.5.145_ch0_20180126_080313.793_face.jpg', u'male', u'Unknown')
('./data/facerecog/temp/08/10.38.5.145_ch0_20180126_080316.047_face.jpg', u'male', u'Richard')
('./data/facerecog/temp/08/10.38.5.145_ch0_20180126_080320.307_face.jpg', u'female', u'Unknown')
('./data/facerecog/temp/08/10.38.5.145_ch0_20180126_080332.009_face.jpg', u'male', u'Enrique')
('./data/facerecog/temp/08/10.38.5.145_ch0_20180126_080334.943_face.jpg', u'male', u'Enrique')
('./data/facerecog/temp/08/10.38.5.145_ch0_20180126_080516.624_face.jpg', u'male', u'Enrique')
('./data/facerecog/temp/08/10.38.5.145_ch0_20180126_080537.906_face.jpg', u'male', u'Gopi')
('./data/facerecog/temp/08/10.38.5.145_ch0_20180126_080540.632_face.jpg', u'male', u'Guillermo')
('./data/facerecog/temp/08/10.38.5.145_ch0_20180126_080607.375_face.jpg', u'male', u'Gopi')
('./data/facerecog/temp/08/10.38.5.145_ch0_20180126_080612.117_face.jpg', u'male', u'Fred')
('./data/facerecog/temp/08/10.38.5.145_ch0_20180126_080621.612_face.jpg', u'male', u'Albert')
('./data/facerecog/temp/08/10.38.5.145_ch0_20180126_080624.240_face.jpg', u'female', u'Gopi')
('./data/facerecog/temp/08/10.38.5.145_ch0_20180126_080625.245_face.jpg', u'male', u'Gopi')
('./data/facerecog/temp/08/10.38.5.145_ch0_20180126_080641.671_face.jpg', u'male', u'Gopi')
('./data/facerecog/temp/08/10.38.5.145_ch0_20180126_080714.459_face.jpg', u'female', u'Unknown')
('./data/facerecog/temp/08/10.38.5.145_ch0_20180126_080718.808_face.jpg', u'female', u'Unknown')
('./data/facerecog/temp/08/10.38.5.145_ch0_20180126_080724.924_face.jpg', u'male', u'Unknown')
('./data/facerecog/temp/08/10.38.5.145_ch0_20180126_080727.427_face.jpg', u'male', u'Unknown')
('./data/facerecog/temp/08/10.38.5.145_ch0_20180126_080745.113_face.jpg', u'female', u'Unknown')
('./data/facerecog/temp/08/10.38.5.145_ch0_20180126_080923.044_face.jpg', u'female', u'Unknown')
('./data/facerecog/temp/08/10.38.5.145_ch0_20180126_080930.601_face.jpg', u'female', u'Unknown')
('./data/facerecog/temp/08/10.38.5.145_ch0_20180126_081447.109_face.jpg', u'male', u'Enrique')
('./data/facerecog/temp/08/10.38.5.145_ch0_20180126_081520.205_face.jpg', u'female', u'Richard')
('./data/facerecog/temp/08/10.38.5.145_ch0_20180126_081529.163_face.jpg', u'female', u'Enrique')
('./data/facerecog/temp/08/10.38.5.145_ch0_20180126_081530.390_face.jpg', u'female', u'Richard')
('./data/facerecog/temp/08/10.38.5.145_ch0_20180126_081533.751_face.jpg', u'male', u'Unknown')
('./data/facerecog/temp/08/10.38.5.145_ch0_20180126_081554.122_face.jpg', u'female', u'Unknown')
('./data/facerecog/temp/08/10.38.5.145_ch0_20180126_081601.616_face.jpg', u'female', u'Unknown')
('./data/facerecog/temp/08/10.38.5.145_ch0_20180126_081649.414_face.jpg', u'female', u'Enrique')
('./data/facerecog/temp/08/10.38.5.145_ch0_20180126_081654.064_face.jpg', u'female', u'Enrique')
('./data/facerecog/temp/08/10.38.5.145_ch0_20180126_081711.173_face.jpg', u'female', u'Unknown')
('./data/facerecog/temp/08/10.38.5.145_ch0_20180126_081716.907_face.jpg', u'female', u'Unknown')
